iteration	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
1	4	6.0	6.0	4	4	NA	no_change	NA	3	3
1	3	6.0	0.25	4	10	3.5	anagenetic	3	1	2
1	3	6.0	0.25	10	14	2.5	anagenetic	3	1	2
1	3	6.0	0.25	14	11	1.5	anagenetic	3	1	2
1	3	6.0	0.25	11	14	0.5	anagenetic	3	1	2
1	1	0.25	0.0	4	4	NA	no_change	3	NA	NA
1	2	0.25	0.0	9	9	NA	no_change	3	NA	NA
1	3	6.0	0.25	14	4	0.25	cladogenetic	3	1	2
1	3	6.0	0.25	14	9	0.25	cladogenetic	3	1	2
2	4	6.0	6.0	11	11	NA	no_change	NA	3	3
2	3	6.0	0.25	11	14	3.5	anagenetic	3	1	2
2	3	6.0	0.25	14	11	2.5	anagenetic	3	1	2
2	3	6.0	0.25	11	14	1.5	anagenetic	3	1	2
2	1	0.25	0.0	4	4	NA	no_change	3	NA	NA
2	2	0.25	0.0	9	9	NA	no_change	3	NA	NA
2	3	6.0	0.25	14	4	0.25	cladogenetic	3	1	2
2	3	6.0	0.25	14	9	0.25	cladogenetic	3	1	2
3	4	6.0	6.0	7	7	NA	no_change	NA	3	3
3	3	6.0	0.25	7	12	3.5	anagenetic	3	1	2
3	3	6.0	0.25	12	14	1.5	anagenetic	3	1	2
3	1	0.25	0.0	4	4	NA	no_change	3	NA	NA
3	2	0.25	0.0	9	9	NA	no_change	3	NA	NA
3	3	6.0	0.25	14	4	0.25	cladogenetic	3	1	2
3	3	6.0	0.25	14	9	0.25	cladogenetic	3	1	2
