iteration	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
1	8	6.0	6.0	7	7	NA	no_change	8	7	7
1	7	6.0	3.25	7	7	NA	no_change	7	5	6
1	7	6.0	3.25	7	7	3.25	cladogenetic	7	5	6
1	5	3.25	0.25	7	11	2.5	anagenetic	5	1	2
1	5	3.25	0.25	11	14	0.75	anagenetic	5	1	2
1	6	3.25	0.25	7	12	1.5	anagenetic	6	3	4
1	6	3.25	0.25	12	14	0.75	anagenetic	6	3	4
1	1	0.25	0.0	4	4	NA	no_change	5	NA	NA
1	2	0.25	0.0	9	9	NA	no_change	5	NA	NA
1	3	0.25	0.0	4	4	NA	no_change	6	NA	NA
1	4	0.25	0.0	9	9	NA	no_change	6	NA	NA
1	5	3.25	0.5	14	4	0.25	cladogenetic	5	1	2
1	5	3.25	0.5	14	9	0.25	cladogenetic	5	1	2
1	6	3.25	0.5	14	4	0.25	cladogenetic	6	3	4
1	6	3.25	0.5	14	9	0.25	cladogenetic	6	3	4
2	8	6.0	6.0	11	11	NA	no_change	8	7	7
2	7	6.0	3.25	11	11	NA	no_change	7	5	6
2	7	6.0	3.25	11	11	3.25	cladogenetic	7	5	6
2	5	3.25	0.25	11	4	2.5	anagenetic	5	1	2
2	5	3.25	0.25	4	10	1.5	anagenetic	5	1	2
2	5	3.25	0.25	10	14	0.75	anagenetic	5	1	2
2	6	3.25	0.25	11	14	2.75	anagenetic	6	3	4
2	6	3.25	0.25	14	12	2.5	anagenetic	6	3	4
2	6	3.25	0.25	12	14	0.75	anagenetic	6	3	4
2	1	0.25	0.0	4	4	NA	no_change	5	NA	NA
2	2	0.25	0.0	9	9	NA	no_change	5	NA	NA
2	3	0.25	0.0	4	4	NA	no_change	6	NA	NA
2	4	0.25	0.0	9	9	NA	no_change	6	NA	NA
2	5	3.25	0.5	14	4	0.25	cladogenetic	5	1	2
2	5	3.25	0.5	14	9	0.25	cladogenetic	5	1	2
2	6	3.25	0.5	14	4	0.25	cladogenetic	6	3	4
2	6	3.25	0.5	14	9	0.25	cladogenetic	6	3	4
3	7	6.0	3.25	0	5	4.5	anagenetic	7	5	6
3	7	6.0	3.25	5	5	3.25	cladogenetic	7	5	6
3	5	3.25	0.25	5	10	2.5	anagenetic	5	1	2
3	5	3.25	0.25	10	14	0.75	anagenetic	5	1	2
3	6	3.25	0.25	5	10	1.5	anagenetic	5	1	2
3	6	3.25	0.25	10	14	0.75	anagenetic	5	1	2
3	1	0.25	0.0	4	4	NA	no_change	5	NA	NA
3	2	0.25	0.0	9	9	NA	no_change	5	NA	NA
3	3	0.25	0.0	4	4	NA	no_change	6	NA	NA
3	4	0.25	0.0	9	9	NA	no_change	6	NA	NA
3	5	3.25	0.5	14	4	0.25	cladogenetic	5	1	2
3	5	3.25	0.5	14	9	0.25	cladogenetic	5	1	2
3	6	3.25	0.5	14	4	0.25	cladogenetic	6	3	4
3	6	3.25	0.5	14	9	0.25	cladogenetic	6	3	4
