Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-1050.548	-1029.178	-21.37021	0.0287094	0.0263845	0.0287094	0.150558	0.0862356	0.0470369	4.41329	4.23715	4.37845	6.51246	1	0.919018	1	1.77457	1.01643	0.554408	0.0287094	0.0263845	0.0287094	0	0	0	0	0.0625721	0	0	0.995246	0	0	-1.03291	0	2.936281	1.23153	0.02870941	0.08484168	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0.859724	0	-0.0844493	0	0	0.0848417	2.93628	3.021123	1.77457	1.01643	0.554408
10	-1054.558	-1029.109	-25.44911	0.00483813	0.00433588	0.00228837	0.0577178	0.0577178	0.0370688	3.90841	6.62821	4.27592	7.09062	1.44643	1.29628	0.684144	1	1	0.642243	0.00483813	0.00433588	0.00228837	0	0	0	0	0	-0.371037	0	0.749409	-0.664707	0	0	0	3.2868	1.194794	0.003344872	0.04979769	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	-2.15513	0.859724	0	0.249008	-0.442789	0	0.0497977	3.2868	3.336598	1	1	0.642243
20	-1058.034	-1032.569	-25.46455	0.0979877	0.0613765	0.1075	0.169639	0.13988	0.169639	5.34838	5.09452	3.59938	6.86054	1	0.62637	1.09708	1	0.824576	1	0.0979877	0.0613765	0.1075	0	0	0	0	-1.63558	0	0.0907371	0.64146	0	0	0	0	3.01182	1.272654	0.09798767	0.1590754	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	-0.929359	0	0.859724	0.09265	-0.467815	0	-0.192886	0.159075	3.01182	3.170895	1	0.824576	1
30	-1050.014	-1028.068	-21.94594	0.012921	0.012921	0.012921	0.000774341	0.00111744	0.00166529	4.49685	4.4974	4.49774	6.746	1	1	1	0.685568	0.989331	1.47437	0.012921	0.012921	0.012921	0	0	0	0	0	0	-1.43386	1.43839	0	0	0.679849	0	3.178417	1.324257	0.01292104	0.001129488	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0.859724	0	0	0	0	0.00112949	3.17842	3.179547	0.685568	0.989331	1.47437
40	-1054.324	-1027.014	-27.31035	0.0303607	0.0734482	0.0103376	0.0060069	0.0177182	0.0132704	3.62334	5.11612	3.6306	6.05615	1.70086	4.11471	0.57913	0.640567	1.88944	1.41514	0.0303607	0.0734482	0.0103376	0	0	0	0	0	0	-1.23751	1.23486	-0.956517	0	0.638572	0.153888	2.843883	1.321161	0.01785016	0.01121979	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0.347794	0	0.859724	0	1.39948	0	0.53811	0.0112198	2.84388	2.855102	0.640567	1.88944	1.41514
50	-1060.158	-1030.117	-30.04078	0.00990754	0.0540602	0.00442758	0.102811	0.0967235	0.192126	3.18479	3.94154	3.07347	5.05279	0.823073	4.49107	0.367823	0.947942	0.891815	1.77145	0.00990754	0.0540602	0.00442758	0	0	0	0	0	0.264953	-1.02532	1.21937	0.350651	0	0.85895	-0.717637	2.19939	1.096899	0.01203725	0.124085	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0.588418	-0.18728	0.859724	-1.20039	1.50762	0	0.403842	0.124085	2.19939	2.323475	0.947942	0.891815	1.77145
60	-1058.072	-1028.382	-29.69014	0.0109885	0.00511702	0.0126891	0.24874	0.115596	0.0664461	4.35246	6.03027	4.17017	7.12277	0.931519	0.43378	1.07568	2.67273	1.24209	0.713967	0.0109885	0.00511702	0.0126891	0	0	0	0	0	0	-1.25697	1.22051	0.127752	0	0	-1.66591	3.16234	1.227264	0.01179634	0.124085	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	-0.375955	0.359786	0	0.859724	0	-0.833202	-0.525623	1.3886	0.124085	3.16234	3.286425	2.67273	1.24209	0.713967
70	-1055.662	-1029.473	-26.18888	0.0433235	0.0755729	0.0205604	0.0218848	0.0113781	0.0198029	3.8046	5.61687	3.14606	6.00695	0.564015	0.98386	0.267669	1.13169	0.588373	1.02403	0.0433235	0.0755729	0.0205604	0	0	0	0	-0.73367	0	0	0.954442	1.03132	0	0	-0.20963	2.819393	1.293694	0.07681263	0.01702081	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	-0.0341845	0.859724	-1.90695	0	0	-0.38294	0.0170208	2.81939	2.836414	1.13169	0.588373	1.02403
80	-1053.47	-1031.106	-22.36413	0.00667347	0.00469934	0.00586968	0.220483	0.168961	0.199878	3.66259	3.69351	3.64199	5.49904	1.17213	0.825396	1.03096	1.1291	0.865255	1.02358	0.00667347	0.00469934	0.00586968	0	0	0	0	0	0	0	0.698568	0	-0.269139	0	-0.205759	2.314465	1.223235	0.005693433	0.1952729	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1.64349	0.859724	0	-0.00257917	0	0	0.195273	2.31447	2.509738	1.1291	0.865255	1.02358
90	-1053.135	-1032.554	-20.58056	0.080141	0.0698798	0.0956302	0.063639	0.063639	0.063639	4.08048	4.08048	4.08048	6.12073	1	0.87196	1.19327	1	1	1	0.080141	0.0698798	0.0956302	0	0	0	0	0	0	0	0.422819	0	0	0	0	2.795339	1.233838	0.080141	0.06363897	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	-0.690814	0	0	0.859724	0.176701	-0.137011	0	0	0.063639	2.79534	2.858978	1	1	1
