Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-584.4226	-546.4501	-37.97246	1.1496	0.860182	2.38728	2.30223	0.154012	1.17926	3.48022	4.50546	2.0693	5.00394	0.426536	0.319153	0.885751	2.06096	0.137872	1.05567	1.1496	0.860182	2.38728	0	0	0	0	0	0	0.753718	-0.797076	0.591083	-0.441715	0	-1.68233	0.6456768	1.513989	2.695204	0.7477733	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0.330173	0	0	3.90896	-1.57038	-0.545085	0	-1.20408	0.747773	0.645677	1.39345	2.06096	0.137872	1.05567
10	-579.9103	-544.9995	-34.91083	1.88443	2.3264	1.30495	2.17841	0.408682	1.26377	4.26251	4.1279	3.43159	5.68895	1.47311	1.81861	1.02011	1.5392	0.288763	0.892946	1.88443	2.3264	1.30495	0	0	0	0	0.111904	0	0	0	0	-0.618374	0.724856	-1.6455	0.8641261	2.012816	1.279222	1.040074	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	-0.0892319	-0.86074	0	3.58372	0.121558	0.883801	-0.924112	0	1.04007	0.864126	1.9042	1.5392	0.288763	0.892946
20	-577.8604	-542.6321	-35.22826	1.33921	1.20719	1.27866	2.02151	0.321108	1.06375	3.86775	3.35289	4.85964	4.94245	1.05129	0.947656	1.00375	2.00179	0.317976	1.05337	1.33921	1.20719	1.27866	0	0	0	0	-0.0316242	1.33807	-0.797997	-1.27492	0	-0.116355	0	-1.61457	0.6631511	1.683537	1.273873	0.883871	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	-1.3663	-0.302612	0	3.47793	0	0	0	-0.399741	0.883871	0.663151	1.547022	2.00179	0.317976	1.05337
30	-587.4689	-548.3835	-39.08537	0.468531	2.9149	0.727971	1.00469	0.55159	0.769005	1.92027	3.80175	2.31011	3.56502	0.621048	3.86377	0.964943	1.33508	0.732976	1.02189	0.468531	2.9149	0.727971	0	0	0	0	-1.02684	1.33571	-1.15791	-0.955512	0	1.10813	0	-0.672287	0.5845366	2.18438	0.7544195	0.7525343	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	-1.18202	2.86273	-0.168296	3.18179	0	0.839611	0	0	0.752534	0.584537	1.337071	1.33508	0.732976	1.02189
40	-580.7831	-542.3786	-38.40456	1.60087	2.86093	1.15435	2.27528	0.445386	1.36571	5.34874	3.72644	4.43917	5.56593	1.22768	2.194	0.885249	1.50201	0.294018	0.901564	1.60087	2.86093	1.15435	0	0	0	0	0	0	0.461202	0	0.463236	0.486242	0.451886	0	0.4177121	1.790636	1.303982	1.114405	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	-3.42605	0	3.8236	0	0.868965	0.00280623	-0.92374	1.11441	0.417712	1.532117	1.50201	0.294018	0.901564
50	-578.8194	-547.3199	-31.49945	0.641875	1.84175	0.657849	2.24368	0.472964	1.69244	7.84583	4.5665	3.75085	6.6326	0.973777	2.79409	0.998011	1.35633	0.285912	1.0231	0.641875	1.84175	0.657849	0	0	0	0	1.48362	1.53891	-0.127545	-0.844323	0	0.0618172	0	-0.709017	1.078307	1.785337	0.6591598	1.215535	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	2.67265	0	0.998943	0	-0.924458	1.21554	1.07831	2.293842	1.35633	0.285912	1.0231
60	-577.6346	-552.6637	-24.97097	0.465278	0.465278	0.465278	1.4321	0.567725	1.4321	3.54397	4.7406	3.66367	5.96174	1	1	1	1	0.396429	1	0.465278	0.465278	0.465278	0	0	0	0	0	-0.180237	1.10356	-1.08657	0	0	0	0	1.193081	1.486842	0.4652782	1.052028	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2.62494	0	0	0	-0.925259	1.05203	1.19308	2.24511	1	0.396429	1
70	-575.398	-547.6379	-27.76014	0.623136	1.59204	1.41859	0.917465	0.886536	0.903545	3.71577	3.73278	3.70185	5.5752	0.558644	1.42727	1.27178	1.01666	0.982391	1.00124	0.623136	1.59204	1.41859	0	0	0	0	0	0	0	-1.13201	-0.962149	-0.614156	0	-0.0384476	1.351827	2.47479	1.115443	0.9024265	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	2.83501	0.0139379	0	0	0	0.902426	1.35183	2.254254	1.01666	0.982391	1.00124
80	-578.5839	-544.8922	-33.69164	0.928031	0.928031	0.928031	2.27453	0.292141	0.635437	5.58474	3.25961	3.54809	5.22657	1	1	1	2.75908	0.354376	0.770805	0.928031	0.928031	0.928031	0	0	0	0	0	-0.117555	1.07857	-1.74964	0	0	1.1352	0	0.8491608	2.378538	0.9280308	0.7502139	0	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0.189944	-2.28257	0	3.13599	0	0	0	-0.28282	0.750214	0.849161	1.599375	2.75908	0.354376	0.770805
90	-579.549	-544.6187	-34.93028	2.28179	2.03717	1.41279	2.38039	0.18647	0.734322	3.48355	4.38615	2.0982	4.96056	1.28936	1.15113	0.798316	2.4788	0.194179	0.76468	2.28179	2.03717	1.41279	0	0	0	0	-0.692059	0	0	-2.31045	0.809321	1.23155	1.13504	0.248872	0.7829195	2.193786	1.769712	0.6882001	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0.125437	0	2.4949	0.0599901	0.109651	0	-0.999498	0.6882	0.78292	1.47112	2.4788	0.194179	0.76468
