Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-644.0431	-624.2516	-19.79146	0.679372	0.406203	0.00906624	1.23416	1.26131	1.41826	2.53819	2.66366	2.77912	3.96262	5.00436	2.99215	0.0667833	0.947808	0.968663	1.0892	0.679372	0.406203	0.00906624	0	0	0	0	1.65712	0	0.313106	0	-0.979917	0	0	0.0610586	0.02246216	0.03635043	0.1357561	1.302117	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	-1.18802	0	0	0	0	0	0	0	1.30212	0.0224622	1.324579	0.947808	0.968663	1.0892
10	-641.8773	-627.5477	-14.32968	0.408217	0.408217	0.408217	0.953089	0.953089	1.31275	2.99216	3.35182	3.35182	4.8479	1	1	1	1	1	1.37736	0.408217	0.408217	0.408217	0	0	0	0	0	0	0	0	0	0	0	0	0.7679048	0.03257614	0.4082168	1.060431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.320168	0	1.06043	0.767905	1.828336	1	1	1.37736
20	-650.0523	-626.2689	-23.78336	0.694124	0.674533	0.0485458	1.42602	1.42602	1.42602	3.09178	3.04704	3.31846	4.68145	1.07306	1.04277	0.0750477	1	1	1	0.694124	0.674533	0.0485458	0	0	0	0	1.45538	0	0	-0.98469	0	-0.0803197	0	0	0.192605	0.1117599	0.6468655	1.426023	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0.0773904	0	-0.606078	-2.47724	0	0	0	1.42602	0.192605	1.618628	1	1	1
30	-645.0147	-624.1583	-20.85635	0.746945	0.746945	0.185889	1.20879	1.20879	1.20879	2.89853	2.5069	2.89853	4.01751	1	1	0.248866	1	1	1	0.746945	0.746945	0.185889	0	0	0	0	0	0	0.379111	0	0	0	0	0	0.1744671	0.04992241	0.7469454	1.208788	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	-1.68347	0	-0.981383	0.327137	0	-1.39084	0	0	1.20879	0.174467	1.383255	1	1	1
40	-647.7062	-625.3208	-22.38542	0.825032	0.825032	0.227029	1.46471	1.46471	1.46471	3.5615	2.96969	3.46639	4.75979	1	1	0.275176	1	1	1	0.825032	0.825032	0.227029	0	0	0	0	0.440586	-0.162038	0	0	0	0	0	0	0.1333841	0.05114644	0.8250319	1.464708	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	-2.31799	-0.092767	0	0	-0.944985	-0.34536	0	0	1.46471	0.133384	1.598092	1	1	1
50	-653.4285	-627.3875	-26.04096	2.46106	1.42177	0.0246125	1.73085	1.64028	1.29974	7.40866	3.80039	3.55625	6.19429	5.57296	3.21954	0.055734	1.14153	1.0818	0.857206	2.46106	1.42177	0.0246125	0	0	0	0	0.367207	-1.02021	0	0	-1.0454	0	0	-0.150782	0.7808011	0.2175492	0.4416068	1.545292	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0.493738	-0.959613	-0.760502	-1.22135	0	0	-0.0818756	0.138792	1.54529	0.780801	2.326094	1.14153	1.0818	0.857206
60	-643.1846	-624.2303	-18.95426	0.130637	0.121765	0.0204077	1.26705	1.26705	1.26705	2.88338	3.02473	2.89635	4.39139	1.24632	1.16168	0.194697	1	1	1	0.130637	0.121765	0.0204077	0	0	0	0	-0.0871109	0	0	0	-0.133997	0	0	0	0.2787758	0.02544522	0.1048177	1.267046	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0.251158	-0.0809306	0	0	-1.10826	-0.157983	0	0	1.26705	0.278776	1.545822	1	1	1
70	-648.9907	-630.9479	-18.04276	0.565486	0.565486	0.605966	2.22993	2.22993	1.42699	6.41316	3.74844	3.80731	6.17081	1	1	1.07159	1	1	0.639924	0.565486	0.565486	0.605966	0	0	0	0	0	-0.864223	0	0	0	0	0	0	0.1628794	0.04843457	0.5654859	1.921624	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	-0.453333	0	0	0	0	0.0691392	0	-0.446405	1.92162	0.162879	2.084503	1	1	0.639924
80	-656.4019	-630.7528	-25.6491	0.133645	0.120712	0.0597986	2.89783	2.76573	1.25355	65.0352	4.78792	4.69427	8.54189	1.11297	1.00527	0.497991	1.15728	1.10453	0.500623	0.133645	0.120712	0.0597986	0	0	0	0	0	-1.16865	0	0	0.409594	-0.888627	-0.0888911	0	1.232923	0.04992557	0.1200799	2.157787	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1.00966	0.051062	1.24928	0	-0.584893	0	-0.446405	2.15779	1.23292	3.39071	1.15728	1.10453	0.500623
90	-654.6728	-627.963	-26.70971	2.99493	2.11203	0.0464785	2.26454	2.26454	1.44913	9.41959	4.53551	3.96885	7.11906	2.51391	1.77281	0.0390135	1	1	0.639924	2.99493	2.11203	0.0464785	0	0	0	0	-0.968196	-0.82877	0	-0.273821	-0.175747	-0.721078	0	0	0.5693949	0.08329991	1.191345	1.951443	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	0.631007	0	0	0.937764	-0.951429	-0.798016	0	-0.446405	1.95144	0.569395	2.520838	1	1	0.639924
