Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-529.5006	-501.0646	-28.436	0.0644153	0.0129499	0.0558305	0.54175	3.15898	0.302529	4.30408	1.09279	4.06068	4.65556	1.15377	0.23195	1	0.81294	4.74031	0.453969	0.0644153	0.0129499	0.0558305	0	0	0	0	0	-0.116565	0	-1.48207	0	0	0.370987	2.21014	0.3068653	2.575868	0.0558305	0.8029797	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0.265527	-0.946501	0	0	0.143031	-1.46123	0	0.55928	0.80298	0.306865	1.109845	0.81294	4.74031	0.453969
10	-532.0123	-498.8417	-33.17064	1.42492	0.0299643	0.0422161	0.430074	3.14521	0.861449	3.93232	1.59383	4.40894	4.96219	17.046	0.358457	0.505023	0.312061	2.28216	0.625066	1.42492	0.0299643	0.0422161	0	0	0	0	-0.175589	0	-1.23708	-1.6955	2.59467	0	0	1.50068	0.2478919	2.575868	0.08359254	1.052303	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0.427515	0.137147	0	-1.05129	0.625371	0.501446	-0.809331	0	1.0523	0.247892	1.300195	0.312061	2.28216	0.625066
20	-528.3707	-500.2448	-28.12592	0.474252	0.217081	0.400383	0.4029	3.82813	0.625132	4.68083	1.14711	4.91713	5.27343	1.4791	0.677035	1.24872	0.333932	3.17283	0.518122	0.474252	0.217081	0.400383	0	0	0	0	0	0.515674	-0.465605	-1.75032	0	-0.709363	0	2.09995	0.1923293	2.758409	0.3206348	0.9879124	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	-0.108818	0	0	-0.361725	0.223522	0	-0.599739	0	0.987912	0.192329	1.180242	0.333932	3.17283	0.518122
30	-529.668	-497.4241	-32.24383	2.80823	0.191113	0.183365	0.429236	3.59347	0.349175	4.82668	1.16047	4.5582	5.21524	7.15474	0.486914	0.467174	0.527568	4.41668	0.429166	2.80823	0.191113	0.183365	0	0	0	0	0.392943	0	0	-1.71506	1.95629	0.785573	0	2.70152	0.3988288	3.616194	0.3924992	0.8136136	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0.466507	0	-0.160661	-0.0699102	0.487053	0	0	0	0.813614	0.398829	1.212442	0.527568	4.41668	0.429166
40	-531.3078	-502.9669	-28.34084	0.916741	0.553301	0.869646	0.709113	3.56286	0.606184	4.6038	1.55398	4.50322	5.32272	0.731131	0.441276	0.693571	0.61519	3.09096	0.525894	0.916741	0.553301	0.869646	0	0	0	0	0	0.118154	-0.303715	-1.67529	1.38973	0	0	2.0524	0.2097621	2.476407	1.253868	1.152673	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0.390471	0	-1.49715	0	0	0	1.15267	0.209762	1.362436	0.61519	3.09096	0.525894
50	-531.3722	-504.6076	-26.76454	1.21535	0.0553051	0.111135	0.531807	2.35109	0.941843	3.32213	2.23478	4.20841	4.81568	6.2172	0.282917	0.56852	0.405153	1.79116	0.717536	1.21535	0.0553051	0.111135	0	0	0	0	-1.08061	0	0	-1.67663	2.14485	0	0	1.06007	0.4680644	2.325732	0.1954815	1.056007	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	-0.240573	-0.453885	0	0	0	0	-0.652563	0	1.05601	0.468064	1.524072	0.405153	1.79116	0.717536
60	-526.7583	-498.2314	-28.52689	0.860343	0.0608518	0.152333	0.123918	3.47409	1.08011	3.97892	2.05395	4.93511	5.39463	3.836	0.271319	0.679204	0.091756	2.57241	0.799773	0.860343	0.0608518	0.152333	0	0	0	0	0	0	-0.324502	-1.5531	1.55744	-0.0741759	-0.525705	1.15558	0.3428753	1.999853	0.2242812	0.7747256	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	-0.281717	0.520867	0	0	0	-0.346862	-1.66721	0	0.774726	0.342875	1.117601	0.091756	2.57241	0.799773
70	-525.1731	-500.621	-24.55207	0.014311	0.0166765	0.0161102	0.0820315	3.41168	0.938636	3.99671	1.64527	4.85099	5.23979	0.913507	1.0645	1.02835	0.066877	2.78141	0.765232	0.014311	0.0166765	0.0161102	0	0	0	0	0	-0.0776562	-0.357157	-1.23473	-0.106184	0	-0.526267	1.29705	0.3809417	1.34799	0.01566605	0.6404456	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0.14492	0	0	-1.94952	0	0.640446	0.380942	1.021387	0.066877	2.78141	0.765232
80	-532.1715	-500.5064	-31.66512	0.196468	0.0990315	0.233577	0.113854	3.61484	0.924574	5.16603	1.23967	5.30283	5.48765	1.23945	0.624754	1.47355	0.0916633	2.91029	0.744371	0.196468	0.0990315	0.233577	0	0	0	0	0.931024	0	0	-1.94823	-0.200141	-1.0698	0	0.94281	0.3817583	2.400346	0.1585128	0.7246462	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	-0.00298234	-1.31156	0	-0.364694	0.131944	0	-2.16646	0.549864	0.724646	0.381758	1.106405	0.0916633	2.91029	0.744371
90	-527.9118	-499.2178	-28.69401	0.0306659	0.0843758	0.102279	0.143598	3.70243	0.574902	5.95827	1.60875	5.19696	6.14025	0.321508	0.884614	1.07232	0.155142	4.00005	0.621116	0.0306659	0.0843758	0.102279	0	0	0	0	1.22353	0	-2.18784	-1.13134	0	-0.222983	0	1.52092	0.8243807	1.709022	0.09538141	0.6736121	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	-1.18751	0	-1.5034	0.550053	0.673612	0.824381	1.497993	0.155142	4.00005	0.621116
100	-533.3707	-500.8373	-32.53331	2.21013	0.0325315	0.0540649	0.151671	4.17652	0.686371	4.99922	1.91623	5.74066	6.29233	23.1715	0.341068	0.566828	0.125132	3.44573	0.566273	2.21013	0.0325315	0.0540649	0	0	0	0	-0.395195	0	-0.6177	-1.58311	2.15617	0	0.300613	1.56338	0.6035431	1.790597	0.09538141	0.7575749	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0.195163	0	0	1.30596	0.19359	-1.96442	0.554499	0.757575	0.603543	1.361118	0.125132	3.44573	0.566273
110	-527.5926	-503.6293	-23.96324	0.0782988	0.0832065	0.0383542	0.117711	2.61692	0.809437	3.53086	1.72338	4.22259	4.73842	1.74388	1.85318	0.854228	0.0949997	2.11202	0.653264	0.0782988	0.0832065	0.0383542	0	0	0	0	0	0	0	-1.29538	0.642455	-0.0370301	0	1.35976	0.5630192	1.571279	0.04489929	0.6294048	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1.01546	-2.03201	0	0.629405	0.563019	1.192424	0.0949997	2.11202	0.653264
120	-528.2669	-498.7517	-29.51517	0.026221	0.0230746	0.0474148	0.184294	3.24996	0.608736	4.2681	1.54574	4.69255	5.25112	0.701912	0.617686	1.26925	0.140172	2.47187	0.462995	0.026221	0.0230746	0.0474148	0	0	0	0	0	0	0	-1.51231	0	-0.761442	0.425485	2.10144	0.5695906	1.802307	0.03735654	0.7143972	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	-0.675034	-0.777405	0	0.247956	-0.534189	-0.063108	-1.82995	0	0.714397	0.569591	1.283988	0.140172	2.47187	0.462995
130	-531.1932	-500.6988	-30.49432	0.181807	0.235776	0.235776	0.116659	3.05268	0.671632	3.38694	1.3419	3.93719	4.25854	0.771102	1	1	0.0808972	2.11688	0.465743	0.181807	0.235776	0.235776	0	0	0	0	0	-0.367174	-1.93859	-1.24375	0	0	0.425749	2.08232	0.2011687	2.206321	0.2357762	0.6207408	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0.0900142	0	0	0	-0.259935	0	-2.38439	-0.144365	0.620741	0.201169	0.8219095	0.0808972	2.11688	0.465743
140	-533.1262	-502.636	-30.49015	0.053697	0.498695	0.301461	0.0558223	3.71419	0.62022	4.28135	2.21286	4.85088	5.41742	0.267677	2.48597	1.50277	0.0470124	3.12801	0.522337	0.053697	0.498695	0.301461	0	0	0	0	0	0.167333	0	-1.32275	-1.547	0	0	2.07408	0.4991578	1.806336	0.2006037	0.5047456	0	1	0	1	1	0	0	1	1	1	0	1	0	0	1	0	-1.67471	-0.107698	0	0.446811	0	0	-2.56639	0	0.504746	0.499158	1.003903	0.0470124	3.12801	0.522337
150	-528.0568	-498.4564	-29.60044	0.563949	0.161494	0.212889	0.140996	3.07379	0.646642	3.59838	1.31739	4.10403	4.49821	2.1183	0.606602	0.799651	0.103503	2.25642	0.47469	0.563949	0.161494	0.212889	0	0	0	0	0	0	-0.882141	-1.7911	0.849177	0	0.470578	1.98386	0.3007563	2.026534	0.2662276	0.6544069	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0.322821	0.41994	0	0.0271489	0	-2.19947	0	0.654407	0.300756	0.9551632	0.103503	2.25642	0.47469
160	-533.466	-504.4702	-28.99581	0.0044195	0.00434094	0.0187222	0.0832287	3.08504	0.735315	3.28794	2.35495	3.93259	4.17712	0.383476	0.37666	1.62451	0.06727	2.4935	0.594322	0.0044195	0.00434094	0.0187222	0	0	0	0	0	-1.07535	0	-1.61605	0	-1.54956	0	1.66175	0.1550179	1.704962	0.01152484	0.5736796	0	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0.446023	0	0	0	-1.32527	-0.124413	-2.30569	0	0.57368	0.155018	0.7286975	0.06727	2.4935	0.594322
170	-528.1736	-500.2581	-27.91546	0.00858867	0.00656615	0.0091781	0.0995633	3.41419	0.835542	5.08431	1.36318	5.88031	5.82475	1.04419	0.798299	1.11585	0.0715013	2.4519	0.600044	0.00858867	0.00656615	0.0091781	0	0	0	0	0	0.628222	0.543913	-1.55354	0	-0.350084	0	1.63115	0.6813254	1.625172	0.00822518	0.6573324	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	-0.451832	0	0	0	-0.0396249	-0.0327836	-2.25193	0	0.657332	0.681325	1.338658	0.0715013	2.4519	0.600044
180	-529.9173	-498.0125	-31.90472	1.9093	0.252351	0.802155	0.105069	3.48648	0.900303	4.2725	1.64442	4.98063	5.44654	2.68567	0.354963	1.12833	0.0739032	2.45231	0.633254	1.9093	0.252351	0.802155	0	0	0	0	0.201393	0	0	-1.47271	0.417497	-0.736645	-0.0901609	1.53493	0.4501323	2.365403	0.7109223	0.6909023	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0.190657	0.269359	0	0.834066	0.45787	-0.384943	-2.16485	0	0.690902	0.450132	1.141035	0.0739032	2.45231	0.633254
190	-531.3274	-498.6761	-32.65128	1.6083	0.0605826	0.276554	0.248253	3.77087	1.17321	4.56099	1.8286	5.35561	5.86336	9.14659	0.344539	1.57279	0.156028	2.37001	0.737365	1.6083	0.0605826	0.276554	0	0	0	0	0.404838	0	-0.0410721	-1.89024	-0.00118784	-1.44524	0	0.973009	0.3167706	3.342161	0.1758365	1.03174	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	-0.250881	0	1.87229	-0.271605	-1.6274	0.327899	1.03174	0.316771	1.34851	0.156028	2.37001	0.737365
200	-529.7703	-504.6909	-25.07942	0.0307541	0.000947045	0.0110621	0.670248	2.92323	0.599887	4.00845	1.77009	4.01958	4.89526	2.68828	0.082783	0.966957	0.709241	3.0933	0.634787	0.0307541	0.000947045	0.0110621	0	0	0	0	-0.263839	0	0	-1.39608	1.18742	-0.89113	0	1.45139	0.3309996	1.144666	0.01144008	1.055332	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	-0.233667	-1.30257	0	0.331211	1.05533	0.331	1.386332	0.709241	3.0933	0.634787
210	-523.7028	-501.2354	-22.46744	0.408315	0.137925	0.176239	0.727854	3.75105	0.620672	5.20644	2.07605	5.09925	6.19087	1.89998	0.641796	0.820078	0.610508	3.1463	0.520606	0.408315	0.137925	0.176239	0	0	0	0	0	0	0	-1.39711	0.753373	0	0	2.08468	0.5144403	1.3011	0.2149055	1.192211	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0.3031	0.402775	0	0	0	0	1.19221	0.51444	1.706652	0.610508	3.1463	0.520606
220	-527.4235	-501.0503	-26.37324	0.128213	0.122274	0.141815	0.348704	3.47477	0.848878	4.51977	1.59112	5.01994	5.52336	1.15299	1.09958	1.27531	0.246331	2.45464	0.599662	0.128213	0.122274	0.141815	0	0	0	0	0	0	0	-1.54592	-0.11758	-0.677789	0	1.63318	0.4016661	2.883785	0.1112005	1.009429	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0.570596	0	0	0	0.0820922	0.398382	-1.01449	0	1.00943	0.401666	1.411096	0.246331	2.45464	0.599662
230	-524.4816	-500.7828	-23.69878	0.0470852	0.0388119	0.0470852	0.296315	3.04316	0.655634	3.56157	1.45821	3.917	4.41203	1	0.82429	1	0.297722	3.05762	0.658749	0.0470852	0.0388119	0.0470852	0	0	0	0	0	-0.295497	0	-1.13703	0	0	0	1.33306	0.1997731	1.559125	0.04708523	0.8392924	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	-0.0285704	1.03781	0	-0.193233	-0.896046	0.384675	0.839292	0.199773	1.039066	0.297722	3.05762	0.658749
240	-527.739	-499.6305	-28.10846	1.66721	0.347989	0.673482	0.282818	3.3785	0.477268	4.67231	0.97833	4.86676	5.00307	2.1882	0.456733	0.883941	0.335229	4.0046	0.565713	1.66721	0.347989	0.673482	0	0	0	0	0	0	0	-1.35935	0.468553	0	0	1.81931	0.3920811	1.922722	0.7619091	0.7697172	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1.53307	0	0	1.03978	0.383891	-0.507834	-0.662293	0.387127	0.769717	0.392081	1.161798	0.335229	4.0046	0.565713
250	-525.6848	-500.5838	-25.10101	0.13587	0.109784	0.129987	0.328236	3.52221	1.00037	4.48963	1.62338	5.16177	5.57389	0.871876	0.704485	0.834128	0.207812	2.22998	0.633355	0.13587	0.109784	0.129987	0	0	0	0	0	0	-1.3932	-1.12252	0	0.579221	0	1.45861	0.3407922	1.925237	0.1558358	1.049673	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	-0.773985	0	0	0	-0.668763	-1.22585	0	1.04967	0.340792	1.390465	0.207812	2.22998	0.633355
260	-528.64	-500.1601	-28.47989	0.499352	0.0719143	0.112125	0.178121	3.18269	1.02115	3.82139	1.65986	4.66443	5.07284	2.71344	0.390776	0.609279	0.115474	2.0633	0.662003	0.499352	0.0719143	0.112125	0	0	0	0	0	0	1.41109	-1.9823	1.30617	0.48408	0	1.31732	0.3256813	3.014671	0.1840295	0.8334259	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	-0.436885	-1.84689	0	0.833426	0.325681	1.159107	0.115474	2.0633	0.662003
270	-531.1042	-501.5795	-29.52466	2.73474	0.124626	0.377132	0.359511	3.166	0.479498	3.5942	1.11189	3.71634	4.151	5.41889	0.246946	0.747288	0.377998	3.3288	0.504155	2.73474	0.124626	0.377132	0	0	0	0	-0.0869034	-0.472712	0.83484	-2.25075	1.81743	-0.597869	0	2.18723	0.07230515	2.365884	0.504668	0.817216	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.455129	0	0.817216	0.0723052	0.8895211	0.377998	3.3288	0.504155
280	-526.0573	-498.1835	-27.87378	0.499097	0.0527769	0.099561	0.391187	3.18563	0.616502	4.46172	1.24628	4.09786	4.73495	2.99948	0.31718	0.598344	0.349658	2.84744	0.551053	0.499097	0.0527769	0.099561	0	0	0	0	1.61275	0	0	-1.59837	1.95066	0	0	1.90316	0.2646307	2.358847	0.1663944	0.9158788	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0.171866	0	0	0	-0.563437	0	-0.600304	0	0.915879	0.264631	1.18051	0.349658	2.84744	0.551053
290	-527.6462	-498.1016	-29.54453	0.561141	0.132622	0.132622	0.18636	3.89633	0.537145	4.73162	1.29995	5.0824	5.55484	4.23112	1	1	0.178829	3.73888	0.515439	0.561141	0.132622	0.132622	0	0	0	0	0	0	-0.724318	-1.48392	0	0	0	2.11653	0.4408412	2.315264	0.1326224	0.7306338	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1.50132	1.38288	0	0	1.44247	0	-1.22032	0.155047	0.730634	0.440841	1.171475	0.178829	3.73888	0.515439
