Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-611.5575	-578.569	-32.98853	0.683642	0.0864129	0.683642	1.67221	5.74549	1.71363	9.95386	6.29852	11.9106	13.8633	1	0.126401	1	0.971223	3.33699	0.995277	0.683642	0.0864129	0.683642	0	0	0	0	0	-0.0568074	-0.43281	2.23886	0	0	0.0550548	0	2.241434	3.289963	0.6836416	2.543968	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0.567338	0	0	-0.630826	-2.0683	0	0	1.17114	2.54397	2.24143	4.785402	0.971223	3.33699	0.995277
10	-609.7752	-579.3503	-30.42488	1.1939	0.666147	2.37119	1.55843	4.60851	2.04739	9.46704	4.62993	9.956	11.4275	0.966346	0.539182	1.91925	0.722028	2.13514	0.948567	1.1939	0.666147	2.37119	0	0	0	0	0	0	-0.0953001	2.40074	0.531806	-0.61688	0.614078	0	1.496714	2.575299	1.235477	2.449908	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	-1.17013	0.352851	0	0	0	0	0.38004	2.44991	1.49671	3.946622	0.722028	2.13514	0.948567
20	-614.1218	-581.2556	-32.86625	0.392309	0.421267	0.464185	1.85814	4.59347	1.99786	11.6865	11.1821	11.7889	17.1513	1.09711	1.1781	1.29812	0.91711	2.26717	0.98607	0.392309	0.421267	0.464185	0	0	0	0	0.0551794	0	0	2.28065	0	-0.230704	0.163145	0	4.110876	2.904433	0.3575831	2.573918	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0.383128	0	-1.0771	0.517497	0	0.375502	0.342475	2.57392	4.11088	6.684794	0.91711	2.26717	0.98607
30	-609.4853	-579.4881	-29.99719	0.132885	0.166122	0.188065	1.99666	4.58847	1.89151	7.79422	9.17367	10.0074	12.4766	0.785882	0.982447	1.11222	0.970635	2.23059	0.919517	0.132885	0.166122	0.188065	0	0	0	0	0	-0.605372	0.257686	1.80871	0.557646	-0.13644	0	0.074191	1.866297	3.116025	0.1690903	2.587776	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1.12147	0	0	0	-0.1523	0	0	0.688553	2.58778	1.8663	4.454073	0.970635	2.23059	0.919517
40	-611.8062	-581.3593	-30.44692	0.727104	0.368053	0.936797	2.39455	4.67649	2.43613	8.44661	8.03041	8.44882	12.0895	0.739022	0.374086	0.952151	0.97966	1.91325	0.996674	0.727104	0.368053	0.936797	0	0	0	0	0	-0.346453	0	1.84666	0.570216	0	0.0387454	0	1.238824	4.34423	0.9838741	3.010335	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0.815228	0	-1.33473	0.624922	0	3.01034	1.23882	4.24916	0.97966	1.91325	0.996674
50	-611.4612	-582.0722	-29.38903	0.0666061	0.0773251	0.067385	2.1611	4.6202	2.90103	10.1595	5.76113	10.9646	12.5478	1.00643	1.16839	1.01819	0.703686	1.50441	0.944618	0.0666061	0.0773251	0.067385	0	0	0	0	0	0.228098	0.0220661	1.67953	0	-0.0159424	0.662596	0	1.292686	4.324362	0.06618092	3.071111	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	-1.01963	-0.030944	0	0.180061	0	0	0	3.07111	1.29269	4.363796	0.703686	1.50441	0.944618
60	-613.7309	-576.0914	-37.63953	0.934936	0.015895	1.15146	2.20803	4.29202	2.54038	9.44771	6.40922	15.2791	13.6758	1.45226	0.0246902	1.7886	0.84591	1.6443	0.973234	0.934936	0.015895	1.15146	0	0	0	0	0.910202	-0.320762	0	1.72785	-0.333286	-0.488769	0.315518	0	2.259927	3.59338	0.6437787	2.887499	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1.19775	-0.579484	0.242176	0	-1.37242	-1.37437	-0.308512	0.611352	2.8875	2.25993	5.147427	0.84591	1.6443	0.973234
70	-609.3461	-578.0802	-31.2659	1.17731	0.175521	2.71916	3.16692	2.92654	3.16692	9.29379	7.42996	12.8393	13.1903	1.42672	0.212705	3.29522	1	0.924098	1	1.17731	0.175521	2.71916	0	0	0	0	1.25708	0	1.09293	1.59267	0.136465	-1.06477	0	0	1.845776	4.339442	0.8251847	3.084677	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0.908766	0	0	0	0	0	-0.0789368	0	3.08468	1.84578	4.930453	1	0.924098	1
80	-608.6345	-580.2791	-28.35539	0.618647	0.0878389	1.29128	3.6163	3.6163	3.6163	9.86822	20.4884	9.78489	16.4843	1.49989	0.212963	3.13067	1	1	1	0.618647	0.0878389	1.29128	0	0	0	0	0	-0.383195	0	1.41527	0	-1.0091	0	0	2.857178	4.887006	0.4124617	3.616298	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0.681589	0	0	0	0	0	0	3.6163	2.85718	6.473476	1	1	1
90	-608.9333	-575.3351	-33.59824	0.343433	0.0274493	0.620754	1.3835	4.25768	2.13878	8.22848	6.18446	13.5674	12.9348	1.38557	0.110743	2.5044	0.594575	1.82979	0.919164	0.343433	0.0274493	0.620754	0	0	0	0	-0.509241	0.166425	-0.0815894	1.3365	0	-0.811747	0.980268	0	2.491534	5.921893	0.2478652	2.326874	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0.939403	0	0	-1.00082	-0.956384	0	0	0	2.32687	2.49153	4.818408	0.594575	1.82979	0.919164
