Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-848.0605	-822.913	-25.14753	0.115017	4.90449	0.678329	0.0157503	0.00154008	0.0201728	0.148556	0.188061	3.12174	0.378883	0.162617	6.9342	0.959054	1.55551	0.152099	1.99227	0.115017	4.90449	0.678329	0	0	0	0	-1.64036	0	0.655495	-1.15396	-0.121822	1.01718	-1.41751	0	0.2074356	1.741677	0.7072898	0.007880127	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0783	0	-0.752143	0	0.00788013	0.207436	0.2153158	1.55551	0.152099	1.99227
10	-849.6235	-824.1097	-25.51383	0.0393958	3.06821	0.358559	0.00522365	0.0877733	0.0136421	0.193402	0.199112	3.78361	0.440698	0.0967416	7.5344	0.880491	0.28351	4.76384	0.740414	0.0393958	3.06821	0.358559	0	0	0	0	-1.64176	0	0.865645	-1.49481	0	1.28123	0.494082	0.606969	0.2040455	1.342376	0.4072268	0.01842492	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	-0.437422	0	0	-0.201601	-0.443508	0	0	0	0.0184249	0.204046	0.2224704	0.28351	4.76384	0.740414
20	-847.0851	-822.7279	-24.35722	0.023777	7.2271	0.375953	0.0422012	0.0402201	0.0422012	0.151733	0.164684	1.69709	0.304757	0.0592568	18.0113	0.936948	1	0.953057	1	0.023777	7.2271	0.375953	0	0	0	0	-1.63327	0	0	-1.50425	-0.189352	1.58248	0	0	0.1092325	1.061241	0.4012526	0.04153019	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1.72311	-0.0150747	0	0	-0.048081	0	0.0415302	0.109232	0.1507627	1	0.953057	1
30	-847.7576	-826.0696	-21.68796	0.0552923	1.01533	0.239519	0.0461224	0.0412391	0.0535471	0.139731	0.160338	1.31952	0.277042	0.212145	3.89561	0.918983	1.30535	1.16715	1.51549	0.0552923	1.01533	0.239519	0	0	0	0	-1.63529	0	0	-1.57743	0	0.850506	-0.854974	0	0.08259599	0.9977078	0.2606344	0.04670024	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-0.275122	0.836772	0	0.0467002	0.082596	0.1292962	1.30535	1.16715	1.51549
40	-845.2461	-823.7325	-21.51365	0.0249285	1.31443	0.218471	0.0376638	0.0838401	0.0376638	0.19272	0.177722	0.235276	0.298862	0.129346	6.82017	1.13358	1	2.22601	1	0.0249285	1.31443	0.218471	0	0	0	0	-0.220678	0	0	-1.92842	-0.504672	1.20819	0	0	0.0659469	0.5757764	0.1927269	0.04917755	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	-0.0430993	0.300152	0	0	0	0	0.800212	0	0.0491775	0.0659469	0.1151244	1	2.22601	1
50	-843.3806	-822.9896	-20.39091	0.0777594	2.61258	0.391911	0.0384208	0.0233415	0.0384208	0.136985	0.170329	0.13787	0.221651	0.180752	6.07294	0.910998	1	0.607523	1	0.0777594	2.61258	0.391911	0	0	0	0	0	-0.0990645	0.443618	-1.57345	0	0.938351	0	0	0.05730387	1.354424	0.4301995	0.03254022	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0.117032	0	0	0	-0.498365	0	0.0325402	0.0573039	0.08984409	1	0.607523	1
60	-840.7073	-823.6736	-17.03366	0.0559476	1.67712	0.267559	0.0470077	0.0470077	0.0470077	0.185296	0.185296	0.185296	0.277944	0.19107	5.72764	0.913758	1	1	1	0.0559476	1.67712	0.267559	0	0	0	0	0	0	-0.0124662	-1.58142	0	0.907898	0	0	0.06454512	1.11947	0.2928117	0.04700768	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0470077	0.0645451	0.1115528	1	1	1
70	-846.7343	-824.3391	-22.39523	0.0288125	3.58668	0.153305	0.0613844	0.0181774	0.0644794	0.138579	0.17364	0.141674	0.226355	0.170681	21.2469	0.908157	1.09179	0.323306	1.14684	0.0288125	3.58668	0.153305	0	0	0	0	0	0	0	-1.40213	0	0.9698	-0.281768	0	0.03882118	1.154007	0.1688092	0.04159139	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	0	0	-0.211317	-0.688511	0	0.412164	0.779751	-0.904326	0	0.0415914	0.0388212	0.08041257	1.09179	0.323306	1.14684
80	-853.8798	-828.5149	-25.36495	0.0283305	6.66472	0.243946	0.0459913	0.0387985	0.0464534	0.144019	0.141704	0.153597	0.218493	0.102582	24.1324	0.883308	1.09253	0.921665	1.10351	0.0283305	6.66472	0.243946	0	0	0	0	-0.0742694	0	-0.579214	-1.36982	0	1.24908	-0.199611	-0.0144172	0.04117206	1.325661	0.2761735	0.04360164	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	-0.190997	-1.5231	0	0	0.782381	0.105418	0	0.0436016	0.0411721	0.08477369	1.09253	0.921665	1.10351
90	-847.3101	-823.4812	-23.82894	0.0312729	5.46571	0.33666	0.0574732	0.0300521	0.0574732	0.317734	0.17589	0.157973	0.279802	0.0810026	14.1572	0.872013	1	0.522889	1	0.0312729	5.46571	0.33666	0	0	0	0	0.278889	0	0	-1.53597	0	1.37863	0	0	0.06617054	1.807287	0.3860721	0.04630227	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0.64653	-0.657424	0.627042	0	0	0	-0.755062	0.106676	0.0463023	0.0661705	0.1124728	1	0.522889	1
