Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-339.7451	-314.65	-25.09507	2.09936	4.56166	4.03167	9.51577	0.709743	1.15706	10.8511	11.3572	2.53	12.3682	0.621138	1.34966	1.19285	2.09332	0.156133	0.254535	2.09936	4.56166	4.03167	0	0	0	0	0	-0.105153	0	-0.223571	0.482591	0.223784	1.0104	-0.46584	0.4646593	0.1793411	3.379856	1.984418	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1.24331	0	1.98442	0.464659	2.449077	2.09332	0.156133	0.254535
10	-341.6357	-314.7602	-26.87549	1.36116	1.60264	1.85059	9.41442	0.794239	1.00931	10.9376	11.1526	6.1044	12.829	0.854849	1.00651	1.16223	2.6873	0.226711	0.288103	1.36116	1.60264	1.85059	0	0	0	0	0	0	0.510242	-0.768091	1.25135	0	-1.1009	-0.45786	0.8285471	0.1482812	1.592277	1.961509	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1.77502	0	-0.246225	0	0	0	-0.869989	0	1.96151	0.828547	2.790056	2.6873	0.226711	0.288103
20	-342.4106	-313.0744	-29.33628	0.348663	5.22212	2.64734	8.36848	0.728807	0.876031	13.7938	18.1151	6.95569	18.8828	0.206404	3.09143	1.56719	2.67425	0.232899	0.279946	0.348663	5.22212	2.64734	0	0	0	0	-0.149727	-0.0838008	-0.491579	0	0	0.849399	-1.41795	-0.43385	4.228242	0.2087311	1.689225	1.748207	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0.455522	-0.201429	0	0	0	-0.873319	0	1.74821	4.22824	5.976449	2.67425	0.232899	0.279946
30	-345.9205	-316.473	-29.44748	1.18817	1.94414	1.34239	7.38503	0.741347	1.14632	10.3806	10.2563	10.4441	13.4696	1.18298	1.93564	1.33653	2.75199	0.276258	0.427168	1.18817	1.94414	1.34239	0	0	0	0	0	0	0	-1.23859	-1.34077	0	0	-0.544937	2.089705	0.1043503	1.004391	1.844561	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1.3339	-0.267558	0.990177	1.10585	0.451157	0.216237	-0.562336	0	1.84456	2.0897	3.934266	2.75199	0.276258	0.427168
40	-343.3453	-314.1021	-29.24314	0.724347	4.57243	4.57243	8.92596	1.56781	2.13096	10.7365	19.9328	5.11459	14.2892	1	6.31249	6.31249	2.48663	0.436768	0.593651	0.724347	4.57243	4.57243	0	0	0	0	-1.67203	-1.08979	0	0	0	0	-0.504977	-0.456288	0.7530313	0.2653439	0.7243467	3.101044	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0.221443	1.45304	-0.164909	0	1.84253	0	-0.219444	0	3.10104	0.753031	3.854075	2.48663	0.436768	0.593651
50	-343.1473	-317.2052	-25.94208	0.542899	0.015628	0.074946	7.37041	1.02272	1.63774	9.00868	9.18046	3.27096	10.6064	4.87636	0.140372	0.673171	3.18904	0.442513	0.70862	0.542899	0.015628	0.074946	0	0	0	0	-1.0862	1.11323	0	0.0209597	0.37675	-0.878305	-0.168441	-0.612918	0.2665991	0.1484237	0.1113328	2.311166	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	-1.11201	0	0	0.0235538	-0.821922	0	0	2.31117	0.266599	2.577765	3.18904	0.442513	0.70862
60	-347.7626	-318.3472	-29.4154	0.616471	0.326192	0.565143	7.55035	1.20079	1.15605	11.5996	12.0514	5.2053	14.4082	0.748403	0.396001	0.68609	3.44211	0.547427	0.527029	0.616471	0.326192	0.565143	0	0	0	0	0	0	0	0	-1.05881	0.22744	0.868237	-0.723964	2.122695	0.2373333	0.8237153	2.188455	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0.160676	0	-1.8817	-0.369842	-0.853217	-0.361875	0.71681	2.18845	2.12269	4.31115	3.44211	0.547427	0.527029
70	-342.6914	-313.781	-28.91036	0.196566	0.663581	0.902866	7.19689	0.554369	0.880289	11.4353	11.9787	5.2854	14.3472	0.714832	2.41318	3.28336	4.73466	0.364706	0.57912	0.196566	0.663581	0.902866	0	0	0	0	-0.0788966	0	-1.03447	0.0638806	2.67862	0	-1.22562	-0.754327	2.694459	0.1275453	0.2749825	1.520044	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	-0.790287	0	0.867052	0	0	0	1.52004	2.69446	4.214503	4.73466	0.364706	0.57912
80	-338.2383	-314.6128	-23.62549	0.0251509	2.8825	1.02253	8.48541	0.798802	1.44553	12.058	12.7047	4.62983	14.6817	0.086415	9.9039	3.51328	3.96546	0.373301	0.675533	0.0251509	2.8825	1.02253	0	0	0	0	0	0	0.200647	-0.660405	0.105548	1.31097	0	-0.741579	1.86344	0.2673321	0.2910474	2.13983	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	-0.150802	0	0	0	0.550442	0	0	0	2.13983	1.86344	4.00327	3.96546	0.373301	0.675533
90	-341.2095	-315.1213	-26.08823	0.830893	0.218086	0.305098	7.55555	0.84506	1.52924	23.6743	11.1237	4.47825	14.6133	2.18109	0.572476	0.800882	3.96546	0.443522	0.802606	0.830893	0.218086	0.305098	0	0	0	0	-0.406159	2.15936	0	0	0	-0.419783	0	-0.741579	2.467433	0.1671116	0.3809524	2.137352	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	-1.01255	-0.464758	0	0	0	0	0.172361	0	2.13735	2.46743	4.604786	3.96546	0.443522	0.802606
