Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-487.2074	-459.4349	-27.77254	4.10866	2.0054	2.0054	1.59451	11.4479	5.52539	13.3271	7.41978	17.2671	19.0068	2.0488	1	1	0.218953	1.57198	0.758729	4.10866	2.0054	2.0054	0	0	0	0	0	-0.138909	0	0	0	0	0.339782	0	0.2069827	0.7418663	2.0054	4.654842	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0.130537	0	-0.675252	-0.00565835	0	0.717252	0.171149	-1.51382	4.65484	0.206983	4.861825	0.218953	1.57198	0.758729
10	-490.3324	-458.189	-32.14344	4.86986	0.566578	2.70457	1.55809	12.5722	7.32367	14.521	9.18376	20.154	21.9189	3.9061	0.45445	2.16933	0.162776	1.31344	0.765117	4.86986	0.566578	2.70457	0	0	0	0	0	0.689648	-1.6015	0	-0.953001	0	0.329465	0	0.2196125	0.504196	1.246732	5.234931	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	-0.389405	0	-0.713196	1.15812	0	1.34829	0	-1.81045	5.23493	0.219613	5.454544	0.162776	1.31344	0.765117
20	-488.8894	-457.5227	-31.36662	2.29132	1.14416	2.8221	1.32379	11.6111	6.52454	13.2316	8.42119	19.3304	20.2798	1.19286	0.59565	1.46918	0.152492	1.33753	0.751587	2.29132	1.14416	2.8221	0	0	0	0	0.378419	-1.27801	0	0	-0.473416	0	0.35142	0	0.3924753	0.3018545	1.920867	4.646014	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	-0.362108	-0.995528	0.918315	-0.126321	0.169273	0	-1.87539	4.64601	0.392475	5.038489	0.152492	1.33753	0.751587
30	-486.1907	-457.7856	-28.40515	0.390713	0.22001	0.396895	1.30812	11.548	6.13725	13.6513	8.18691	18.408	20.1217	0.976933	0.55011	0.99239	0.162094	1.43096	0.760492	0.390713	0.22001	0.396895	0	0	0	0	0.150007	0.378791	0.135061	0	0	-0.013999	0.336926	0	0.5319784	0.2208335	0.3999384	4.525941	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	-0.241214	0	0	0.9183	-0.628612	0	0.0795178	-1.81454	4.52594	0.531978	5.05792	0.162094	1.43096	0.760492
40	-489.1906	-460.66	-28.53061	0.049614	0.0214639	0.0389427	1.0887	12.1442	9.32176	14.3463	11.4511	22.4742	24.1338	1.43337	0.620102	1.12507	0.0943309	1.05224	0.807691	0.049614	0.0214639	0.0389427	0	0	0	0	-0.141799	0	0	0.286316	0	0.215966	0.330334	0.100532	0.7445063	0.4363982	0.03461357	4.976501	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	-0.768383	0.75268	0	0	0	-2.5236	4.9765	0.744506	5.721007	0.0943309	1.05224	0.807691
50	-487.1051	-459.2919	-27.8132	0.373565	0.366794	0.354977	1.38327	10.9768	6.34787	14.0227	9.5736	21.1585	21.986	0.999044	0.980933	0.949333	0.166126	1.31828	0.762359	0.373565	0.366794	0.354977	0	0	0	0	-0.430437	-0.824813	0	-0.941287	0.0639865	0	0.333909	0	1.567121	0.2917648	0.373923	4.584981	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	-0.174734	0	0	0	-0.0722035	0	0	-1.79001	4.58498	1.56712	6.152102	0.166126	1.31828	0.762359
60	-490.0161	-458.3152	-31.7009	0.229588	0.229588	0.229588	1.24917	11.3603	6.68439	13.3025	10.0583	21.6548	21.7354	1	1	1	0.143696	1.30681	0.768929	0.229588	0.229588	0.229588	0	0	0	0	0.984184	-1.74324	0.518744	0.524459	0	0	0.323348	0	1.137006	0.7227075	0.2295881	4.560616	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	-1.07053	-1.91596	0	0	0	0	-1.93522	4.56062	1.13701	5.697622	0.143696	1.30681	0.768929
70	-488.8535	-458.5315	-30.32199	0.929141	0.980146	1.4676	1.63669	12.2769	5.58381	14.6178	7.92472	21.3264	21.0201	0.709695	0.748654	1.12098	0.224539	1.68428	0.766049	0.929141	0.980146	1.4676	0	0	0	0	0	0	1.07861	0	0	0.209288	0.327966	0	0.7693209	0.2594482	1.309211	4.823121	0	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	-1.10328	0.490281	0	0.449652	0.173618	-0.691814	0.249927	-1.4888	4.82312	0.769321	5.592442	0.224539	1.68428	0.766049
80	-485.9776	-458.8356	-27.14208	2.40761	0.537052	1.52985	1.75619	11.6891	5.24743	13.5427	7.09504	17.0653	18.8488	2.14141	0.477672	1.3607	0.25696	1.71032	0.767791	2.40761	0.537052	1.52985	0	0	0	0	-0.133683	0	0	0	0	0.564447	0.325172	0	0.07370711	0.4357455	1.124312	4.75809	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0.372156	0	0.0291807	0.510134	-0.179499	0.267578	-1.35397	4.75809	0.0737071	4.831797	0.25696	1.71032	0.767791
90	-482.9848	-458.086	-24.89878	0.903076	0.903076	0.903076	1.77584	11.7963	6.98021	13.9034	9.03546	19.2902	21.0863	1	1	1	0.196171	1.3031	0.771081	0.903076	0.903076	0.903076	0	0	0	0	-0.356656	0	1.17613	0	0	0	0.319909	0	0.2530438	0.4273181	0.9030758	5.268332	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0.688314	0	0	0	0	0	-1.62398	5.26833	0.253044	5.521376	0.196171	1.3031	0.771081
