Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-271.4609	-231.145	-40.31593	1.21217	0.138228	0.0326162	0.509247	13.3432	13.3432	17.3384	15.525	26.8525	28.6357	3.9905	0.455049	0.107373	0.0381654	1	1	1.21217	0.138228	0.0326162	0	0	0	0	0	2.43908	2.6362	0.39135	-0.388491	1.32335	0	0	0.5452256	0.7779956	0.3037655	4.492436	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0.242535	-1.14898	0	-1.63488	0	0	-3.26583	4.49244	0.545226	5.037662	0.0381654	1	1
10	-264.3389	-230.411	-33.9279	0.337155	0.953355	0.23607	0.826922	13.7901	13.1766	18.5296	17.6377	27.7707	31.0031	0.567017	1.60332	0.397016	0.0689146	1.14925	1.09812	0.337155	0.953355	0.23607	0	0	0	0	0	0.24511	0.942363	1.54074	0	-1.10258	0	-0.324898	1.45426	0.4307273	0.5946127	5.316322	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	-1.25209	0	0	-1.01907	0	0.0655177	-2.5077	5.31632	1.45426	6.770582	0.0689146	1.14925	1.09812
20	-260.8025	-230.4969	-30.30552	0.106069	0.125839	0.125839	0.693845	14.3734	11.7403	18.0693	15.5665	30.5809	31.9772	0.842888	1	1	0.0622027	1.28856	1.05251	0.106069	0.125839	0.125839	0	0	0	0	-0.123271	-0.323804	0	0.249028	0	0	0	-0.592138	2.443581	0.8885204	0.1258395	4.892147	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	-1.47956	0	-0.170921	0	-2.47266	4.89215	2.44358	7.335728	0.0622027	1.28856	1.05251
30	-265.0715	-234.2412	-30.83031	1.00549	0.41733	0.241187	0.568661	10.0973	11.8638	11.0406	12.9142	23.1156	23.3633	1.95267	0.810461	0.468388	0.0645304	1.14582	1.34627	1.00549	0.41733	0.241187	0	0	0	0	0	-0.835403	1.33791	0	-0.36984	0	0.239558	0	0.4020475	1.817202	0.514929	4.08408	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0.992219	-1.43568	-0.29941	0	0	-2.30716	4.08408	0.402048	4.486128	0.0645304	1.14582	1.34627
40	-264.4492	-232.9498	-31.49931	0.442991	0.355662	0.302647	0.776532	17.1561	10.6977	20.9665	14.5081	28.4599	31.1576	1.18187	0.948879	0.807439	0.0817982	1.80718	1.12688	0.442991	0.355662	0.302647	0	0	0	0	0	0	0	0	-0.0923467	0	0	-1.38214	1.136933	1.012248	0.3748232	5.223436	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1.24407	-1.61052	0.372229	-1.09499	-0.0992663	0	0	-1.79228	5.22344	1.13693	6.360369	0.0817982	1.80718	1.12688
50	-263.2276	-232.816	-30.41162	1.64889	0.379828	0.084061	0.526835	10.9887	12.4386	12.9936	14.4434	24.9053	26.1712	3.01759	0.695114	0.153838	0.0753937	1.57256	1.78005	1.64889	0.379828	0.084061	0	0	0	0	0	0	0.854163	0	-0.640028	0	-0.145552	-1.25051	1.04509	0.4324921	0.5464253	4.160363	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	-0.749534	0	-1.07745	-0.0536254	0.649228	-2.20491	4.16036	1.04509	5.205454	0.0753937	1.57256	1.78005
60	-273.4925	-229.5533	-43.93918	0.00362493	0.078876	0.0390055	0.773366	12.5315	14.1551	14.6133	15.6708	27.3943	28.7552	0.0974599	2.12066	1.0487	0.0973057	1.57672	1.78101	0.00362493	0.078876	0.0390055	0	0	0	0	0	1.8825	1.67422	1.21088	1.32294	0	-0.145547	-1.25667	0.6151292	0.5135972	0.03719409	5.15743	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1.85236	1.92143	0.398607	-1.4552	-1.59449	0.0654531	0.649228	-1.9466	5.15743	0.615129	5.772559	0.0973057	1.57672	1.78101
70	-264.5511	-230.4996	-34.05151	0.0922478	0.0430412	0.0164498	0.48066	14.9184	12.3245	19.841	16.1381	28.0874	31.0111	3.06526	1.43019	0.546604	0.0678955	2.1073	1.74089	0.0922478	0.0430412	0.0164498	0	0	0	0	-0.0606668	0.864095	0.252021	0.638806	-0.60031	-1.6324	0.358573	-1.26509	1.499831	0.5672049	0.03009463	4.454267	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	-0.476961	-1.36589	0	0	0.873911	0	-1.38999	4.45427	1.49983	5.954099	0.0678955	2.1073	1.74089
80	-259.6094	-230.2641	-29.34532	0.0552494	0.0811022	0.0132118	0.416801	13.2092	10.8845	14.6267	12.447	25.9276	26.3972	0.810973	1.19045	0.193928	0.0667107	2.1142	1.74211	0.0552494	0.0811022	0.0132118	0	0	0	0	0	-0.449695	0	0.0380149	0	-0.40717	0.358608	-1.27268	0.8946243	0.6734772	0.06812729	3.913254	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	-0.919638	-1.06267	-1.67545	0	0	-1.40362	3.91325	0.894624	4.807879	0.0667107	2.1142	1.74211
90	-262.9394	-231.1284	-31.81097	0.0564677	0.0261594	0.112649	0.603545	8.85363	11.2701	10.1875	12.6707	20.8023	21.8266	1.74164	0.806837	3.47443	0.0835757	1.226	1.56062	0.0564677	0.0261594	0.112649	0	0	0	0	0.276507	0.119043	0	-0.605166	-0.263531	0.151556	0.358591	0	0.518388	1.310259	0.03242213	3.919699	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0.780941	0	0	-2.08291	1.58563	0	0	-1.83316	3.9197	0.518388	4.438087	0.0835757	1.226	1.56062
