Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-885.9966	-860.9381	-25.05855	0.44867	0.527927	0.527927	2.43754	0.682545	0.460502	3.42294	3.30708	1.71982	4.1925	0.849871	1	1	3.86496	1.08224	0.73017	0.44867	0.527927	0.527927	0	0	0	0	-0.340493	-0.121699	0.767488	0.475654	0	0	0.764302	0	0.2896754	0.7254599	0.5279266	0.9150369	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	1	0.375066	0	-1.0475	0.774759	0	-0.162671	0	1.11651	0.915037	0.289675	1.204712	3.86496	1.08224	0.73017
10	-882.1234	-858.3117	-23.81171	0.394666	0.20862	0.338448	2.59313	0.532653	0.290317	3.40178	3.16951	0.969719	3.74937	0.726043	0.383785	0.622623	5.16179	1.06028	0.577894	0.394666	0.20862	0.338448	0	0	0	0	0.39668	0	0.768106	0	0.91581	0.177243	0.768027	0.424583	0.1572585	0.5549732	0.5435847	0.7374172	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	-1.04365	0.335676	0	1.15145	0.737417	0.157259	0.8946757	5.16179	1.06028	0.577894
20	-883.9268	-861.9559	-21.97091	0.451818	0.451818	0.451818	2.27395	0.6604	0.6604	3.02606	3.03329	2.09449	3.81206	1	1	1	3.44329	1	1	0.451818	0.451818	0.451818	0	0	0	0	-1.14799	0	0.767893	0	0	0	0	0	0.1157351	0.812808	0.4518179	0.9972369	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0.179653	0.304533	-0.675254	0.351412	0	0	0	1.23643	0.997237	0.115735	1.112972	3.44329	1	1
30	-884.6533	-859.7442	-24.90912	0.189	0.398033	0.567833	2.37919	0.797972	0.342781	3.36216	2.94057	2.51584	3.97181	0.491791	1.03571	1.47754	6.60824	2.21638	0.952079	0.189	0.398033	0.567833	0	0	0	0	-1.34652	0.164913	0.766044	0	0	-0.713348	0	0.0897336	0.2356777	0.738653	0.384309	0.8665847	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0.229241	0	0	-0.142281	0	-0.284234	0.800289	1.03451	0.866585	0.235678	1.102262	6.60824	2.21638	0.952079
40	-883.1151	-857.231	-25.88412	0.378227	0.240366	0.822263	2.39419	0.77445	0.44078	3.17465	2.8401	1.31399	3.62273	0.459984	0.292322	1	6.56283	2.12289	1.20825	0.378227	0.240366	0.822263	0	0	0	0	-1.75746	0	0.764984	0	0	0	-0.459757	0	0.007846649	0.7145625	0.822263	0.9349557	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	-0.0823635	-0.584488	-1.2299	0.453333	0.800318	1.22273	0.934956	0.00784665	0.9428023	6.56283	2.12289	1.20825
50	-888.938	-859.097	-29.84107	0.517492	0.459567	0.90387	2.50668	0.594329	0.266963	3.72664	3.24052	1.81061	4.3254	0.332132	0.294955	0.580113	9.38963	2.22626	1	0.517492	0.459567	0.90387	0	0	0	0	-1.38269	0.762736	0.767012	0	0	0.995031	0	0	0.4539368	0.747184	1.558092	0.7354031	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	-0.441918	-1.14536	0	-0.597103	-1.17199	-0.52371	0.800324	1.43928	0.735403	0.453937	1.18934	9.38963	2.22626	1
60	-881.237	-855.3128	-25.92413	0.629859	0.337193	1.16689	2.6307	0.394442	0.245124	3.07732	2.94184	0.687438	3.35213	0.539778	0.288969	1	7.46186	1.11882	0.695283	0.629859	0.337193	1.16689	0	0	0	0	0	0.654433	0.533427	0	0	0	0.52609	0.268566	0.03864242	0.8916136	1.166886	0.6335976	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0.462472	0	-0.0453843	-1.24144	0.62484	0.07108	1.61648	0.633598	0.0386424	0.6722401	7.46186	1.11882	0.695283
70	-882.3856	-857.8176	-24.56805	0.22677	0.257836	1.17011	2.61544	0.569516	0.53789	3.19862	3.16588	1.15987	3.75035	0.216083	0.245685	1.11497	4.56655	0.994374	0.939154	0.22677	0.257836	1.17011	0	0	0	0	-0.935397	0	0	-0.307083	0	-0.198856	0	0.114711	0.01364587	1.018939	1.049458	0.928784	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	-0.143829	0	-1.04241	-1.41349	0	0	1.45034	0.928784	0.0136459	0.9424299	4.56655	0.994374	0.939154
80	-881.8766	-858.8397	-23.03684	0.618985	0.747424	1.12834	2.89952	0.649303	0.360812	3.68586	3.39737	1.16124	4.12189	0.801452	0.967753	1.46096	4.94628	1.10765	0.61551	0.618985	0.747424	1.12834	0	0	0	0	0	0	0.179332	0.167929	-0.921347	0	1.03896	0.105651	0.1000732	1.098058	0.7723296	0.8790593	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0.0978093	0	0	0.0624937	0	0	1.21557	0.879059	0.100073	0.9791325	4.94628	1.10765	0.61551
90	-889.1388	-864.9766	-24.16219	0.0622497	0.501305	0.928424	2.24728	0.52847	0.52847	2.93188	2.98517	1.21306	3.56117	0.109719	0.883581	1.6364	4.25243	1	1	0.0622497	0.501305	0.928424	0	0	0	0	0	0	0	-0.365069	-1.19697	0	0	0	0.1213151	1.420633	0.5673563	0.8561825	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0.293685	0	-0.256984	-0.379939	0	-1.84111	0	1.44749	0.856183	0.121315	0.9774976	4.25243	1	1
