Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-849.1808	-824.7214	-24.45944	0.298931	0.298931	0.417272	0.388072	1.09259	2.10869	1.78233	2.85963	3.64471	4.13317	1	1	1.39588	1.04867	2.95247	5.69822	0.298931	0.298931	0.417272	0	0	0	0	-0.659307	0	0	1.65282	0	0	-0.271988	0	0.2567511	1.231618	0.2989306	0.9633721	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0.485447	0	1.08775	0.333528	0	0.878037	0.996139	0.963372	0.256751	1.220123	1.04867	2.95247	5.69822
10	-845.7378	-822.968	-22.76981	0.44979	0.44979	0.44979	0.559037	0.998529	2.51839	1.63236	3.20551	3.57116	4.19272	1	1	1	1	1.78616	4.50486	0.44979	0.44979	0.44979	0	0	0	0	-0.719232	0.625354	0	1.76987	0	0	0	0	0.05555673	1.335001	0.4497899	1.120232	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1.08508	0	0	0.925091	0.580066	1.12023	0.0555567	1.175789	1	1.78616	4.50486
20	-848.9435	-830.3402	-18.60333	0.6671	0.6671	0.6671	0.578449	0.866845	2.96703	1.76299	3.86317	4.15157	4.88886	1	1	1	0.608963	0.912573	3.12355	0.6671	0.6671	0.6671	0	0	0	0	0	0	0	0	0	0	0	0.363082	0.2246436	2.062089	0.6671004	1.141588	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1.06059	-0.254552	1.14159	0.224644	1.366232	0.608963	0.912573	3.12355
30	-853.2231	-824.9512	-28.27186	0.876016	0.186715	0.255266	0.349124	0.746611	2.02509	1.21616	2.7741	2.89686	3.37007	2.52513	0.53821	0.735808	1	2.13853	5.80049	0.876016	0.186715	0.255266	0	0	0	0	0	2.23075	0	1.26815	0.838875	-0.78536	0	0	0.1217895	2.077823	0.3469192	0.8081765	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	-0.906596	0.794455	0	0.425739	0	0	0.997826	0.760117	0.808176	0.121789	0.929966	1	2.13853	5.80049
40	-847.746	-824.7868	-22.95924	0.60876	0.60876	0.790084	0.396665	0.913106	2.62915	1.42364	3.13968	3.65613	4.10972	1	1	1.29786	1	2.30196	6.62815	0.60876	0.60876	0.790084	0	0	0	0	0	0	0.998227	1.4981	0	0	0	0	0.08051491	2.106458	0.6087597	0.9838308	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0.170452	0.260715	0	1.05757	0.83376	0.983831	0.0805149	1.064346	1	2.30196	6.62815
50	-849.2071	-822.6965	-26.51063	0.335801	0.346595	0.37898	0.451006	1.14912	2.32727	1.91179	2.99206	3.81355	4.34699	0.770415	0.795179	0.869479	0.997618	2.54184	5.14789	0.335801	0.346595	0.37898	0	0	0	0	1.34544	0	0.769921	0.971662	0	0.190931	0.0136517	0	0.1980557	2.083856	0.4358699	1.064466	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0.193852	-0.125955	0	0	0	-0.314938	0.694628	0.937231	1.06447	0.198056	1.262522	0.997618	2.54184	5.14789
60	-845.8751	-822.619	-23.25606	0.38411	0.315795	0.315795	0.479995	1.13084	2.26504	1.65402	2.77342	3.45019	3.9357	1	0.822146	0.822146	1	2.35595	4.71888	0.38411	0.315795	0.315795	0	0	0	0	1.43545	-0.0325322	0	0.991467	0	0	0	0	0.02827814	1.926997	0.3841105	1.071284	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0.587493	0	-0.195837	0.694628	0.856942	1.07128	0.0282781	1.099562	1	2.35595	4.71888
70	-850.068	-823.8039	-26.26407	0.593669	0.55216	0.576749	0.584422	1.37368	2.36028	2.25212	3.11711	4.12677	4.71504	0.915426	0.85142	0.889336	1	2.3505	4.03866	0.593669	0.55216	0.576749	0	0	0	0	1.9052	0	-1.21216	0	0.505761	0	0	0	0.1876056	2.671522	0.6485166	1.237445	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	-1.21634	0	0	0	-0.366496	0	0.541286	0.854628	1.23744	0.187606	1.42505	1	2.3505	4.03866
80	-849.7921	-823.9911	-25.80098	0.559031	0.559031	0.559031	0.389901	0.813938	2.73068	1.33749	3.38855	3.55975	4.05162	1	1	1	1	2.08755	7.0035	0.559031	0.559031	0.559031	0	0	0	0	-1.08624	0.727377	-1.37934	0	0	0	0	0	0.04595716	2.175861	0.5590313	0.9533931	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0.590999	-1.76635	0	0	0	0	1.21042	0.73599	0.953393	0.0459572	0.9993502	1	2.08755	7.0035
90	-847.8029	-822.7365	-25.06644	0.67866	0.735117	0.467758	0.616865	1.19856	2.27329	1.83286	2.90546	3.47473	4.10176	1.10232	1.19402	0.759762	1	1.94299	3.68523	0.67866	0.735117	0.467758	0	0	0	0	0	-0.241575	0	0	-0.55758	0	0	0	0.005787426	2.560957	0.6156633	1.188962	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1.2265	-1.88231	0	-0.276956	0	0	0.640108	0.664225	1.18896	0.00578743	1.19475	1	1.94299	3.68523
