Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-767.0549	-740.5128	-26.54216	0.508178	0.114006	0.508178	0.415242	4.40729	0.284271	7.6864	4.46612	4.91921	7.15926	1	0.224343	1	1.00201	10.6351	0.685966	0.508178	0.114006	0.508178	0	0	0	0	0.644409	-0.846282	-0.896096	-0.73973	0	0	0	0.371163	0.7520148	0.5018868	0.5081785	0.8042698	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	-0.585058	0	0.278341	0	-1.49458	0	1.98924	0.80427	0.752015	1.556285	1.00201	10.6351	0.685966
10	-763.9023	-738.2511	-25.65129	0.094011	0.0535808	0.110314	0.363838	4.18561	0.26174	19.1569	6.25821	4.55028	9.07959	0.999154	0.56946	1.17242	0.993389	11.428	0.71463	0.094011	0.0535808	0.110314	0	0	0	0	1.12991	0	-0.681798	-0.763731	0	-0.15664	-0.0406669	0.371163	0.8417349	0.6188925	0.09409063	0.7359457	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	-0.982083	0	0	0	0	-0.404842	0	2.09344	0.735946	0.841735	1.577681	0.993389	11.428	0.71463
20	-767.6487	-739.6083	-28.04036	0.0375333	0.0885005	0.124145	0.345084	4.37727	0.236241	9.07668	4.73621	4.71544	7.2838	0.81183	1.91423	2.68521	1.00201	12.7102	0.685966	0.0375333	0.0885005	0.124145	0	0	0	0	1.46995	0.289185	-0.76141	0	-0.981243	0	0	0.371163	0.5819447	0.5074887	0.04623297	0.7092967	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	1.32321	-1.12012	0	0	0	1.42861	0	2.16748	0.709297	0.581945	1.291241	1.00201	12.7102	0.685966
30	-761.9372	-738.391	-23.54614	0.363645	0.399164	0.299131	0.380801	4.77888	0.260693	15.3764	11.2957	5.07312	10.7027	1.03462	1.13568	0.851068	1.00201	12.5747	0.685966	0.363645	0.399164	0.299131	0	0	0	0	1.62635	0	-0.789812	-0.91379	0.160199	0	0	0.371163	0.5264839	0.8248199	0.351477	0.7799221	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2.15677	0.779922	0.526484	1.306406	1.00201	12.5747	0.685966
40	-765.9051	-738.4391	-27.46601	0.0740187	0.232026	0.0740187	0.424416	4.78536	0.290551	30.9456	4.95752	5.08797	9.16656	1	3.1347	1	1.00201	11.2978	0.685966	0.0740187	0.232026	0.0740187	0	0	0	0	1.65523	0	-0.664017	-1.13297	0	0	0	0.371163	0.2976331	0.8393244	0.0740187	0.8387699	1	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	-1.84539	0	0	-0.659263	1.14253	0	0	2.04969	0.83877	0.297633	1.136403	1.00201	11.2978	0.685966
50	-767.4109	-737.324	-30.0869	0.078011	0.11604	0.0413511	0.404858	4.59027	0.277162	26.7665	7.48893	4.87474	10.4725	1.09047	1.62205	0.578021	1.00201	11.3608	0.685966	0.078011	0.11604	0.0413511	0	0	0	0	2.21368	0.460533	-0.729197	-1.12417	0.404111	0.139189	0	0.371163	0.2587495	0.9331357	0.07153914	0.8016005	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	-0.359443	-0.401844	-0.254804	0	0	0.0221494	0	2.05524	0.801601	0.258749	1.06035	1.00201	11.3608	0.685966
60	-768.8436	-736.9553	-31.88839	0.0300749	0.015745	0.269247	0.337852	4.74324	0.196414	18.1171	13.4675	4.95961	11.8096	0.691701	0.362122	6.19248	1.03096	14.4741	0.59936	0.0300749	0.015745	0.269247	0	0	0	0	1.84832	0.0558218	-0.974508	-1.20218	-1.73304	-0.077583	0.134076	0.371163	0.4532949	0.4874999	0.04347972	0.6802329	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1.04539	-0.143622	0.582582	0.217375	1.97358	0.680233	0.453295	1.133528	1.03096	14.4741	0.59936
70	-765.3691	-735.956	-29.41307	0.0646436	0.0566579	0.0646436	0.265604	4.29079	0.164233	15.1512	9.1378	4.50562	9.60086	1	0.876466	1	1.08738	17.5665	0.67237	0.0646436	0.0566579	0.0646436	0	0	0	0	1.39842	0.203115	-0.884316	-1.18185	0	0	0.394329	0	0.6194973	0.5067801	0.06464364	0.5720189	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	-0.490697	0.460715	0	0.417271	0.681651	-0.813509	0.348547	2.20427	0.572019	0.619497	1.191516	1.08738	17.5665	0.67237
80	-764.4768	-737.1026	-27.37423	0.492568	0.138844	0.492568	0.332187	4.63777	0.205403	10.5836	10.9525	4.86498	8.86644	1	0.281877	1	1.08738	15.1813	0.67237	0.492568	0.138844	0.492568	0	0	0	0	1.52661	-0.581313	-0.857933	-1.09266	0	0	0.394329	0	0.3605592	0.6675106	0.4925681	0.6814483	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	-0.918146	-0.348139	-0.0229326	2.42983	0.681448	0.360559	1.042008	1.08738	15.1813	0.67237
90	-769.3815	-737.7521	-31.62941	0.0974187	0.15765	0.0812387	0.312589	4.63147	0.193285	7.26555	28.4433	4.9129	7.45351	0.94263	1.52543	0.786072	1.08738	16.1112	0.67237	0.0974187	0.15765	0.0812387	0	0	0	0	0.690898	-1.13081	-1.14177	-1.09485	-0.29148	0.525954	0.394329	0	0.6711805	0.3644919	0.1033477	0.6540791	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	-0.485955	1.83021	0	0.989042	0	0.122489	0	2.46634	0.654079	0.67118	1.32526	1.08738	16.1112	0.67237
100	-770.7233	-738.7617	-31.96162	0.022639	0.0190792	0.0689171	0.284117	4.00062	0.17568	19.2229	19.1699	4.26594	12.9451	0.711808	0.599883	2.16687	1.08738	15.3113	0.67237	0.022639	0.0190792	0.0689171	0	0	0	0	1.23011	-0.751017	-1.15528	-1.06789	-1.62167	0.846013	0.394329	0	1.087511	0.3102563	0.03180493	0.5844975	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	-0.554182	0	0.306308	1.16848	0	-0.0776856	0	2.41542	0.584498	1.08751	1.672008	1.08738	15.3113	0.67237
110	-763.7312	-736.812	-26.91924	0.0242407	0.0918761	0.0062596	0.367329	3.99802	0.227133	14.9413	6.56533	4.54752	9.02745	1.0072	3.81743	0.260085	1.08738	11.8351	0.67237	0.0242407	0.0918761	0.0062596	0	0	0	0	0.992691	0	-1.07233	-0.881459	0	1.32615	0.394329	0	1.396984	0.2957063	0.02406752	0.693522	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	-0.597283	0	1.51475	0	0	0	2.1579	0.693522	1.39698	2.090506	1.08738	11.8351	0.67237
120	-767.7349	-735.369	-32.36586	0.372796	0.117767	0.696156	0.387772	4.37459	0.239774	18.4009	4.14666	4.72483	8.01614	0.877507	0.277207	1.63865	1.08738	12.2671	0.67237	0.372796	0.117767	0.696156	0	0	0	0	1.40253	0.338722	-1.14329	-0.987872	-0.618289	0.126557	0.394329	0	0.7472128	0.3289684	0.4248353	0.7409215	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0.00929807	-1.06296	0.213038	1.55635	-0.919788	0	0	2.19375	0.740921	0.747213	1.488134	1.08738	12.2671	0.67237
130	-763.8471	-735.8922	-27.95486	0.142433	0.0716172	0.142433	0.329108	3.94318	0.2035	12.6707	16.2047	4.28523	10.2176	1	0.502814	1	1.08738	13.0284	0.67237	0.142433	0.0716172	0.142433	0	0	0	0	1.16727	0	-1.17234	-1.10411	0	0	0.394329	0	1.109621	0.3467664	0.1424328	0.6415787	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	-2.35914e-05	0.593765	0	1.6402	-0.687536	0	0	2.25396	0.641579	1.10962	1.751199	1.08738	13.0284	0.67237
140	-764.565	-736.0303	-28.53476	0.144067	0.0618702	0.144067	0.415019	4.06838	0.256622	10.309	19.1659	4.47852	9.47196	1	0.429455	1	1.08738	10.6595	0.67237	0.144067	0.0618702	0.144067	0	0	0	0	1.22255	0	-1.03396	-0.943275	0	0	0.394329	0	1.08909	0.4072008	0.1440667	0.7567064	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0.662749	0.460935	0	1.23331	0	-0.845238	-0.220715	2.27399	0.756706	1.08909	1.845797	1.08738	10.6595	0.67237
