Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-832.7015	-801.3422	-31.35933	0.266341	0.441393	0.57458	3.12667	4.4253	2.94101	8.03207	7.09878	7.5727	11.1369	0.467095	0.774094	1.00767	1.0884	1.54046	1.02377	0.266341	0.441393	0.57458	0	0	0	0	1.56398	0	0	0	0	0.204725	0	0.629395	0.3066026	2.8921	0.5702061	3.439594	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0.124651	0	-2.23077	0	-0.111092	-0.89855	0.877765	-0.337485	3.43959	0.306603	3.746196	1.0884	1.54046	1.02377
10	-829.5796	-797.8214	-31.75821	0.334829	1.23355	0.380268	3.16356	3.9761	1.60011	7.49907	5.09569	6.00433	9.29474	0.880507	3.24388	1	1.5583	1.95854	0.788177	0.334829	1.23355	0.380268	0	0	0	0	-0.162131	0	-1.08677	-0.351548	0	0	0.483921	0.629395	0.2618238	2.983728	0.3802684	2.720158	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	-0.565816	-0.465445	-1.93846	0	1.17677	-0.127257	0.877765	0	2.72016	0.261824	2.981982	1.5583	1.95854	0.788177
20	-832.3649	-801.0769	-31.28808	0.0181836	0.371136	0.0320565	3.29117	4.5715	2.35232	8.157	5.96348	7.19588	10.6567	0.302903	6.1824	0.533998	1.25351	1.74115	0.895932	0.0181836	0.371136	0.0320565	0	0	0	0	0.171015	0	-1.20017	-0.915489	1.03317	-1.84862	0.246811	0.629395	0.2082915	1.663024	0.06003113	3.283236	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	-1.87735	0	0	0	0.877765	-0.207161	3.28324	0.208292	3.491527	1.25351	1.74115	0.895932
30	-830.1026	-798.0826	-32.01996	0.211008	0.555591	0.329196	3.60722	3.64306	2.42114	9.95237	7.71684	6.11619	10.812	0.6244	1.64407	0.974133	1.5253	1.54046	1.02377	0.211008	0.555591	0.329196	0	0	0	0	0	1.00801	-1.09014	0	0	-0.702102	0	0.629395	0.2931241	2.404209	0.3379373	3.168738	0	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	-2.95596	-1.99607	0	0	0	0.877765	0	3.16874	0.293124	3.461862	1.5253	1.54046	1.02377
40	-832.3594	-801.0587	-31.30076	0.2235	1.29652	1.29652	3.49853	3.40243	2.46566	8.43081	7.49404	7.15309	11.5283	0.172384	1	1	1.51968	1.47794	1.07103	0.2235	1.29652	1.29652	0	0	0	0	0	0	-2.30857	0	0	0	-0.0834954	0.629395	1.019376	2.172252	1.296522	3.08463	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0.174408	0	-1.66912	0	0	-1.75803	0.877765	0	3.08463	1.01938	4.104006	1.51968	1.47794	1.07103
50	-833.2458	-799.2607	-33.98512	0.156643	1.37824	0.629105	3.82469	4.82583	1.92476	9.45229	7.07717	7.36062	11.8396	0.165432	1.45558	0.664405	1.5589	1.96695	0.784509	0.156643	1.37824	0.629105	0	0	0	0	0.245023	-0.824571	-1.39059	0	0.756549	0	0.492552	0.629395	0.6007532	3.031351	0.94687	3.287369	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0.974231	0	-1.64774	0	0	-1.83265	0.877765	0	3.28737	0.600753	3.888123	1.5589	1.96695	0.784509
60	-839.4109	-804.4341	-34.97677	0.481059	0.739424	0.840098	4.19673	4.23842	2.81681	9.5177	7.90903	7.29317	12.1251	0.508051	0.780914	0.887237	1.5253	1.54045	1.02377	0.481059	0.739424	0.840098	0	0	0	0	-0.38815	0	0	-1.83164	0.179634	-0.604472	0	0.629395	0.4007998	3.09567	0.94687	3.686584	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	-1.69365	-2.12917	0	-0.764463	-0.279643	0.877765	0	3.68658	0.4008	4.087384	1.5253	1.54045	1.02377
70	-837.7001	-802.7852	-34.91491	0.237365	2.03684	0.428498	3.72706	3.76408	2.50157	7.78251	6.38435	6.50412	10.3195	0.575772	4.94071	1.0394	1.5253	1.54045	1.02377	0.237365	2.03684	0.428498	0	0	0	0	-0.277435	1.05253	0	0	-0.194915	-1.78678	0	0.629395	0.1544284	3.648891	0.4122554	3.274008	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	-0.710566	0	-2.39832	-0.0357372	0.428974	0.655135	0.877765	0	3.27401	0.154428	3.428436	1.5253	1.54045	1.02377
80	-831.4056	-798.3814	-33.0242	0.17725	0.660392	0.105443	3.73714	3.49283	2.3213	7.55573	6.35634	6.16851	10.0385	1.27552	4.75228	0.758781	1.6482	1.54045	1.02377	0.17725	0.660392	0.105443	0	0	0	0	-0.182977	0	0	0	0.458167	-0.761767	0	0.629395	0.2297298	4.296945	0.1389633	3.11757	1	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	-2.93226	0	0.791858	0.734077	0.877765	0.0774919	3.11757	0.22973	3.3473	1.6482	1.54045	1.02377
90	-835.2067	-800.2247	-34.98204	0.626395	2.96468	1.4785	3.74781	5.24431	1.6498	9.76189	6.24935	7.18546	11.4747	0.423668	2.00519	1	1.57476	2.20356	0.693215	0.626395	2.96468	1.4785	0	0	0	0	0	-0.216945	0	0	0	0	0.721476	0.629395	0.3904601	3.859877	1.478503	3.18884	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0.439156	-0.746488	-2.69366	0.779458	0.695738	-0.858805	0.877765	0	3.18884	0.39046	3.5793	1.57476	2.20356	0.693215
