Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-792.3788	-758.4957	-33.88308	7.80683	1.26473	1.08925	13.3038	6.35059	0.125199	20.49	14.2491	6.64613	20.476	9.36691	1.51746	1.30693	3.14963	1.50348	0.0296406	7.80683	1.26473	1.08925	0	0	0	0	0.867059	0	-0.797801	0	0	0.989205	0	0.967249	0.3143353	3.953262	0.8334479	2.195146	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	-0.758314	-0.0588292	0	0.54204	1.85804	1.06386	-1.96354	0	2.19515	0.314335	2.509481	3.14963	1.50348	0.0296406
10	-789.2554	-757.2676	-31.98777	7.12241	1.15303	0.148173	14.4126	7.47055	0.0939401	22.2582	14.8816	8.21232	22.6397	9.49633	1.53733	0.19756	2.7718	1.43672	0.0180664	7.12241	1.15303	0.148173	0	0	0	0	0	0	-0.340174	0	0.0341907	1.02017	0	0.859513	0.3143353	3.67127	0.7500175	2.162627	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0.983692	-0.43724	0	0.59466	0	1.05924	-2.63184	0	2.16263	0.314335	2.476962	2.7718	1.43672	0.0180664
20	-789.3851	-757.1255	-32.25961	6.13102	1.11938	0.117041	13.2855	6.91994	0.113065	20.6453	13.8359	7.98487	21.1383	7.73101	1.41151	0.147585	2.75095	1.43287	0.0234117	6.13102	1.11938	0.117041	0	0	0	0	0	-0.0102155	-0.348794	-0.522783	0	0.817514	0	0.853147	0.3918796	3.69377	0.7930417	2.182408	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0.769008	0	0.510963	-0.599013	1.07556	-2.38289	0	2.18241	0.39188	2.574287	2.75095	1.43287	0.0234117
30	-791.4184	-758.565	-32.85336	5.97144	1.12631	0.430695	12.9347	7.26218	0.0983263	20.7692	13.6053	7.45579	20.7447	5.9923	1.13024	0.4322	2.44866	1.3748	0.0186141	5.97144	1.12631	0.430695	0	0	0	0	0	0	-0.402525	-0.464861	-0.696614	0.288043	0	0.755008	0.1976312	3.218881	0.9965187	2.098123	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	-0.836968	-0.955804	0.40992	0	0	1.07404	-2.76999	0	2.09812	0.197631	2.295754	2.44866	1.3748	0.0186141
40	-791.0924	-760.2373	-30.85507	8.23629	1.83476	0.455312	15.108	7.00096	0.216955	22.6095	15.8255	7.33046	22.76	4.49416	1.00115	0.248443	3.29804	1.52829	0.0473606	8.23629	1.83476	0.455312	0	0	0	0	0	0	0	0	-0.802908	0	0	1.00607	0.1976312	4.072171	1.832664	2.841697	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	-1.49236	0	0	0.879103	-0.959431	1.07081	-1.43249	0	2.8417	0.197631	3.039328	3.29804	1.52829	0.0473606
50	-797.4612	-765.43	-32.03119	4.88519	1.26181	0.376703	12.6159	5.97436	0.175953	19.6779	13.8795	6.84909	20.1609	4.06822	1.05079	0.313705	3.028	1.43393	0.0422313	4.88519	1.26181	0.376703	0	0	0	0	0	0	0	0.699273	-0.398691	0.116174	-0.1758	0.854309	0.6582552	3.877125	1.200819	2.367025	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	-0.442398	0	1.05975	-0.757462	1.05091	-1.69627	0	2.36702	0.658255	3.02528	3.028	1.43393	0.0422313
60	-794.6478	-759.2148	-35.43299	7.69026	2.20898	0.817108	13.7212	7.94102	0.13041	21.7134	13.9053	8.80888	21.9167	4.06228	1.16687	0.431627	2.3361	1.35199	0.0222029	7.69026	2.20898	0.817108	0	0	0	0	-2.22818	0	0	-0.331448	0.103004	0.366397	0	0.715337	0.07090383	3.168718	1.893089	2.422109	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0.680963	0	0.894501	-0.306691	1.02257	-2.65747	0	2.42211	0.0709038	2.493013	2.3361	1.35199	0.0222029
70	-797.9744	-765.7832	-32.1912	3.51614	1.56372	1.11408	7.93484	6.33368	0.152313	16.4614	10.2348	7.41405	16.8059	2.24729	0.999427	0.712046	1.66631	1.33007	0.0319857	3.51614	1.56372	1.11408	0	0	0	0	0.964128	0	0	0	0.401476	0	0.13781	0.677026	1.122817	3.190367	1.564616	1.970806	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1.04385	-0.556181	1.02572	-2.42833	-0.218286	1.97081	1.12282	3.093623	1.66631	1.33007	0.0319857
80	-790.9092	-761.6306	-29.27857	8.65775	2.00477	0.607942	13.7895	6.66183	0.166987	22.2962	15.8013	8.67366	23.3856	5.53347	1.28132	0.388557	3.13227	1.51323	0.037931	8.65775	2.00477	0.607942	0	0	0	0	0	0	-0.387414	0	0	0.587984	0.0443915	0.982724	1.304497	3.34019	1.564616	2.484706	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0.829563	0	1.01339	-1.71598	0	2.48471	1.3045	3.789203	3.13227	1.51323	0.037931
90	-795.6922	-765.7354	-29.95687	5.00667	1.8203	1.10375	10.1754	6.34462	0.315587	16.9816	10.957	7.40673	17.6396	2.75047	1	0.606354	2.08099	1.29755	0.0645413	5.00667	1.8203	1.10375	0	0	0	0	-0.448859	0	0	-0.281638	0	0	0	0.617842	0.3807611	3.939309	1.820297	2.731232	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0.0805232	0	0.539793	-0.500291	1.01177	-1.74713	0	2.73123	0.380761	3.111993	2.08099	1.29755	0.0645413
